id,Name,Assembly,link,party,case,Qualification,Assets
72,Muta Gopal,MUSHEERABAD,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5571,BRS,0,Graduate,37634297
73,Nomula Narsimhaiah,NAGARJUNA SAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5131,TRS,0,Post Graduate,18900000
74,Marri Janardhan Reddy,NAGARKURNOOL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5727,BRS,0,10th Pass,1612937113
75,Chirumarthi Lingaiah,NAKREKAL (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5214,BRS,8,10th Pass,6743141
76,Kancharla Bhupal Reddy,NALGONDA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5170,BRS,9,12th Pass,323906231
77,Jaffar Hussain,NAMPALLY,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4987,All India Majlis-E-Ittehadul Muslimeen,1,10th Pass,106651987
78,Mahareddy Bhupal Reddy,NARAYANKHED,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4919,BRS,3,Post Graduate,43979833
79,S.rajender Reddy,NARAYANPET,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5057,BRS,2,Post Graduate,662163830
80,Peddi Sudarshan Reddy,NARSAMPET,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5907,BRS,7,12th Pass,
81,Chilumula Madan Reddy,NARSAPUR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4929,BRS,0,12th Pass,11147031
82,Allola Indrakaran Reddy,NIRMAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4614,BRS,0,Graduate Professional,11860501
83,Baji Reddy Goverdhan,NIZAMABAD (RURAL),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5315,BRS,3,Graduate,53808877
84,Bigala Ganesh,NIZAMABAD (URBAN),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4772,BRS,0,Graduate Professional,296985797
85,Kandala Upender Reddy,PALAIR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6046,BRS,0,Graduate,913754496
86,Errabelli Dayakar Rao,PALAKURTHI,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5868,BRS,5,10th Pass,81260886
87,K.mahesh Reddy,PARGI,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4953,BRS,0,Others,95482094
88,Challa . Dharma Reddy,PARKAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5916,BRS,1,Graduate,326239275
89,Gudem Mahipal Reddy,PATANCHERU,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5405,BRS,4,8th Pass,220560676
90,Manohar Reddy Dasari,PEDDAPALLE,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4826,BRS,1,Post Graduate,
91,Rega Kantharao,PINAPAKA (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=6008,BRS,2,Graduate,4349269
